#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|web_id_locator(deprecated)
1593679|2005-04-21T21:10:14.530000|41.11|15.312|19.3|BULLETIN-SISPICK||||ML|2.4|Bollettino Sismico Italiano INGV|AVELLINO|0
1593699|2005-04-22T01:19:38.800000|41.105|15.303|16.9|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|AVELLINO|0
1593719|2005-04-22T05:05:09.170000|43.011|12.958|9|BULLETIN-SISPICK||||ML|2.4|Bollettino Sismico Italiano INGV|MACERATA|0
1593749|2005-04-22T10:24:02.760000|43.334|13.239|7.1|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|MACERATA|0
1593769|2005-04-22T11:05:01.620000|42.604|12.722|1.6|BULLETIN-SISPICK||||Md|2.3|Bollettino Sismico Italiano INGV|TERNI|0
1593789|2005-04-22T12:51:01.870000|42.326|12.714|8.8|BULLETIN-SISPICK||||ML|2.4|Bollettino Sismico Italiano INGV|RIETI|0
1593819|2005-04-22T15:40:49.900000|35.474|15.17|7.2|BULLETIN-SISPICK||||ML|4.0|Bollettino Sismico Italiano INGV|Mar_di_Sicilia      |0
1593869|2005-04-22T19:35:14.660000|44.166|11.779|10|BULLETIN-SISPICK||||ML|2.6|Bollettino Sismico Italiano INGV|FORLI|0
1593889|2005-04-22T23:47:29.770000|44.085|11.69|29|BULLETIN-SISPICK||||ML|2.8|Bollettino Sismico Italiano INGV|FORLI|0
1593899|2005-04-23T01:53:20.460000|44.047|11.649|28.4|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|FIRENZE|0
1593929|2005-04-23T08:03:13.890000|37.791|15.133|8.2|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|CATANIA|0
1593939|2005-04-23T10:12:27.770000|41.701|14.175|11.8|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|ISERNIA|0
1594019|2005-04-23T19:01:23.510000|39.444|16.835|28.7|BULLETIN-SISPICK||||ML|3.5|Bollettino Sismico Italiano INGV|COSENZA|0
1594029|2005-04-23T19:05:49.140000|43.019|12.976|11.7|BULLETIN-SISPICK||||Md|2.1|Bollettino Sismico Italiano INGV|MACERATA|0
1594039|2005-04-23T19:10:48.490000|38.404|15.798|20.2|BULLETIN-SISPICK||||ML|3.0|Bollettino Sismico Italiano INGV|REGGIO CALABRIA|0
1594049|2005-04-23T19:11:41.690000|39.458|16.826|19.1|BULLETIN-SISPICK||||ML|4.1|Bollettino Sismico Italiano INGV|COSENZA|0
1594059|2005-04-23T19:15:33.820000|39.515|16.704|23|BULLETIN-SISPICK||||ML|3.0|Bollettino Sismico Italiano INGV|COSENZA|0
1594069|2005-04-23T19:25:53.000000|39.508|16.851|26.1|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|COSENZA|0
1594099|2005-04-23T20:09:01.960000|39.487|16.766|22|BULLETIN-SISPICK||||ML|2.5|Bollettino Sismico Italiano INGV|COSENZA|0
1594129|2005-04-23T22:24:51.810000|39.384|17.067|29.2|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|CROTONE|0
1594169|2005-04-24T06:53:43.300000|44.442|7.368|14.5|BULLETIN-SISPICK||||Md|2.0|Bollettino Sismico Italiano INGV|CUNEO|0
1594189|2005-04-24T18:33:59.360000|45.544|14.258|5.5|BULLETIN-SISPICK||||ML|4.1|Bollettino Sismico Italiano INGV|TRIESTE|0
1594339|2005-04-25T18:33:44.620000|42.515|13.315|11.5|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|L`AQUILA|0
1594359|2005-04-26T07:51:53.270000|41.77|14.204|11.1|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|ISERNIA|0
1594369|2005-04-26T08:00:43.390000|44.099|8.501|7.4|BULLETIN-SISPICK||||ML|2.6|Bollettino Sismico Italiano INGV|SAVONA|0
1594379|2005-04-26T08:09:38.420000|41.507|15.638|15.5|BULLETIN-SISPICK||||Md|2.3|Bollettino Sismico Italiano INGV|FOGGIA|0
1594409|2005-04-26T11:36:55.680000|41.756|13.597|9.2|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|FROSINONE|0
1594449|2005-04-26T20:15:22.260000|43.019|13.297|18.2|BULLETIN-SISPICK||||ML|2.8|Bollettino Sismico Italiano INGV|MACERATA|0
1594459|2005-04-26T20:21:23.220000|42.891|12.693|17.5|BULLETIN-SISPICK||||Md|2.0|Bollettino Sismico Italiano INGV|PERUGIA|0
1594589|2005-04-27T13:08:08.640000|43.24|12.732|10|BULLETIN-SISPICK||||ML|3.6|Bollettino Sismico Italiano INGV|PERUGIA|0
1594599|2005-04-27T14:52:06.280000|43.275|12.739|8.2|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|PERUGIA|0
1594629|2005-04-28T00:00:44.430000|39.713|15.767|10.1|BULLETIN-SISPICK||||Md|2.6|Bollettino Sismico Italiano INGV|COSENZA|0
1594649|2005-04-28T01:25:22.680000|39.432|16.442|7.9|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|COSENZA|0
